INFO:root:2022-01-02 11:37:01.918402; Ob received for BTC-PLN; timestamp: 1641119824130
INFO:root:2022-01-02 11:37:02.257510; Ob received for BTC-PLN; timestamp: 1641119824376
INFO:root:2022-01-02 11:37:02.550713; Ob received for BTC-PLN; timestamp: 1641119824741
INFO:root:2022-01-02 11:37:03.243882; Ob received for BTC-PLN; timestamp: 1641119825515
INFO:root:2022-01-02 11:37:03.646820; Ob received for BTC-PLN; timestamp: 1641119825954
INFO:root:2022-01-02 11:37:04.169158; Ob received for BTC-PLN; timestamp: 1641119826337
INFO:root:2022-01-02 11:37:04.313488; Ob received for BTC-PLN; timestamp: 1641119826530
INFO:root:2022-01-02 11:37:04.707040; Ob received for BTC-PLN; timestamp: 1641119826942
INFO:root:2022-01-02 11:37:05.176910; Ob received for BTC-PLN; timestamp: 1641119827362
INFO:root:2022-01-02 11:37:06.160332; Ob received for BTC-PLN; timestamp: 1641119828349
INFO:root:2022-01-02 11:37:06.448847; Ob received for BTC-PLN; timestamp: 1641119828707
INFO:root:2022-01-02 11:37:07.166556; Ob received for BTC-PLN; timestamp: 1641119829352
INFO:root:2022-01-02 11:37:07.536564; Ob received for BTC-PLN; timestamp: 1641119829834
INFO:root:2022-01-02 11:37:07.899513; Ob received for BTC-PLN; timestamp: 1641119830099
INFO:root:2022-01-02 11:37:08.253580; Ob received for BTC-PLN; timestamp: 1641119830375
INFO:root:2022-01-02 11:37:08.997204; Ob received for BTC-PLN; timestamp: 1641119832342
INFO:root:2022-01-02 11:37:10.431053; Ob received for BTC-PLN; timestamp: 1641119832994
INFO:root:2022-01-02 11:37:12.273760; Ob received for BTC-PLN; timestamp: 1641119835153
INFO:root:2022-01-02 11:37:14.242253; Ob received for BTC-PLN; timestamp: 1641119836450
INFO:root:2022-01-02 11:37:14.609830; Ob received for BTC-PLN; timestamp: 1641119837352
INFO:root:2022-01-02 11:37:15.439710; Ob received for BTC-PLN; timestamp: 1641119838828
INFO:root:2022-01-02 11:37:16.851498; Ob received for BTC-PLN; timestamp: 1641119839033
INFO:root:2022-01-02 11:37:17.302967; Ob received for BTC-PLN; timestamp: 1641119839588
INFO:root:2022-01-02 11:37:17.909737; Ob received for BTC-PLN; timestamp: 1641119840151
INFO:root:2022-01-02 11:37:18.299530; Ob received for BTC-PLN; timestamp: 1641119841179
INFO:root:2022-01-02 11:37:20.220353; Ob received for BTC-PLN; timestamp: 1641119842347
INFO:root:2022-01-02 11:37:20.727345; Ob received for BTC-PLN; timestamp: 1641119843338
INFO:root:2022-01-02 11:37:21.328470; Ob received for BTC-PLN; timestamp: 1641119843517
INFO:root:2022-01-02 11:37:21.708460; Ob received for BTC-PLN; timestamp: 1641119843960
INFO:root:2022-01-02 11:37:22.279573; Ob received for BTC-PLN; timestamp: 1641119844484
INFO:root:2022-01-02 11:37:24.243283; Ob received for BTC-PLN; timestamp: 1641119846361
INFO:root:2022-01-02 11:37:24.557013; Ob received for BTC-PLN; timestamp: 1641119846769
INFO:root:2022-01-02 11:37:25.249369; Ob received for BTC-PLN; timestamp: 1641119847369
INFO:root:2022-01-02 11:37:25.756207; Ob received for BTC-PLN; timestamp: 1641119847950
INFO:root:2022-01-02 11:37:26.159900; Ob received for BTC-PLN; timestamp: 1641119848335
INFO:root:2022-01-02 11:37:27.247703; Ob received for BTC-PLN; timestamp: 1641119849375
INFO:root:2022-01-02 11:37:28.259286; Ob received for BTC-PLN; timestamp: 1641119850457
INFO:root:2022-01-02 11:37:28.912241; Ob received for BTC-PLN; timestamp: 1641119851362
INFO:root:2022-01-02 11:37:30.177967; Ob received for BTC-PLN; timestamp: 1641119853000
INFO:root:2022-01-02 11:37:31.801102; Ob received for BTC-PLN; timestamp: 1641119854079
INFO:root:2022-01-02 11:37:32.350676; Ob received for BTC-PLN; timestamp: 1641119854379
INFO:root:2022-01-02 11:37:33.204721; Ob received for BTC-PLN; timestamp: 1641119855561
INFO:root:2022-01-02 11:37:34.279627; Ob received for BTC-PLN; timestamp: 1641119856545
INFO:root:2022-01-02 11:37:34.975598; Ob received for BTC-PLN; timestamp: 1641119857218
INFO:root:2022-01-02 11:46:31.086430; Ob received for BTC-PLN; timestamp: 1641120396465
INFO:root:2022-01-02 11:46:40.050904; Ob received for BTC-PLN; timestamp: 1641120403883
INFO:root:2022-01-02 11:46:42.744261; Ob received for BTC-PLN; timestamp: 1641120405958
INFO:root:2022-01-02 11:46:45.734319; Ob received for BTC-PLN; timestamp: 1641120408580
